Player,Year,Age,PA,OPS,HBP,EVavg,Swing%,Sprint speed,Day to Day,10-day DL,15-day DL,60-day DL,Injured
"Beltran, Carlos",2017,40,509,0.666,3,87.3,47.9,25.3,1.0,0.0,0.0,0.0,Yes
"Pujols, Albert",2017,37,636,0.672,2,88.7,47.1,21.9,3.0,0.0,0.0,0.0,Yes
"Mauer, Joe",2017,34,597,0.801,3,90.6,36.6,26.1,0.0,0.0,0.0,0.0,No
"Cabrera, Miguel",2017,34,529,0.728,3,91.1,50.3,24.9,5.0,0.0,0.0,1.0,Yes
"Phillips, Brandon",2017,36,604,0.735,8,84.6,56.3,26.0,4.0,0.0,0.0,0.0,Yes
"Reyes, José",2017,34,561,0.728,2,84.3,45.2,27.4,0.0,0.0,0.0,0.0,No
"Choo, Shin-Soo",2017,34,636,0.78,7,88.7,42.1,26.2,2.0,0.0,0.0,0.0,Yes
"Molina, Yadier",2017,34,543,0.751,4,87.9,52.7,23.8,4.0,0.0,0.0,1.0,Yes
"Canó, Robinson",2017,34,648,0.791,4,90.3,52.0,24.2,0.0,0.0,0.0,0.0,No
"Encarnación, Edwin",2017,34,669,0.881,5,89.2,43.0,24.5,0.0,0.0,0.0,0.0,No
"Bautista, José",2017,36,686,0.674,8,88.3,41.0,25.5,0.0,0.0,0.0,0.0,No
"Jones, Adam",2017,31,635,0.788,7,86.9,58.4,27.1,4.0,0.0,0.0,1.0,Yes
"Granderson, Curtis",2017,36,527,0.775,4,87.7,38.4,26.9,1.0,0.0,0.0,0.0,Yes
"Ramirez, Hanley",2017,33,553,0.749,6,88.5,48.0,26.1,7.0,0.0,0.0,0.0,Yes
"Morales, Kendrys",2017,34,608,0.753,5,91.1,49.6,23.5,2.0,0.0,0.0,0.0,Yes
"Kinsler, Ian",2017,35,613,0.725,7,86.3,44.5,26.9,3.0,0.0,0.0,0.0,Yes
"Cruz Jr., Nelson",2017,36,645,0.924,12,93.2,47.2,25.5,0.0,0.0,0.0,0.0,No
"Trumbo, Mark",2017,31,603,0.686,1,89.8,49.6,26.5,0.0,0.0,0.0,1.0,Yes
"Peralta, David",2017,29,577,0.796,6,88.0,48.6,27.4,3.0,0.0,0.0,1.0,Yes
"Escobar, Alcides",2017,30,629,0.629,4,84.0,53.9,27.7,0.0,0.0,0.0,0.0,No
"Longoria, Evan",2017,31,677,0.737,6,86.7,49.8,27.1,2.0,0.0,0.0,0.0,Yes
"Cozart, Zack",2017,31,507,0.933,3,85.8,40.9,26.0,7.0,0.0,1.0,0.0,Yes
"Reynolds, Mark",2017,33,593,0.839,1,87.2,44.6,24.8,0.0,0.0,0.0,0.0,No
"Davis, Chris",2017,31,524,0.732,3,90.1,42.9,25.1,2.0,0.0,1.0,0.0,Yes
"Headley, Chase",2017,33,586,0.758,6,87.2,44.4,25.3,1.0,0.0,0.0,0.0,Yes
"Pence, Hunter",2017,34,539,0.7,2,89.0,44.8,28.6,2.0,0.0,0.0,1.0,Yes
"Span, Denard",2017,33,542,0.756,3,85.3,44.1,27.5,2.0,0.0,1.0,0.0,Yes
"Cabrera, Asdrúbal",2017,31,540,0.785,5,87.2,47.0,25.2,0.0,0.0,0.0,0.0,No
"Blackmon, Charlie",2017,30,725,1.0,10,87.3,46.4,28.2,0.0,0.0,0.0,0.0,No
"Frazier, Todd",2017,31,576,0.772,14,87.5,40.4,26.5,4.0,0.0,0.0,0.0,Yes
"Markakis, Nick",2017,33,670,0.738,6,88.3,40.7,25.9,1.0,0.0,0.0,0.0,Yes
"Cain, Lorenzo",2017,31,645,0.803,5,89.1,49.3,28.7,0.0,0.0,0.0,0.0,No
"McCutchen, Andrew",2017,30,650,0.849,4,88.4,44.9,28.8,2.0,0.0,0.0,0.0,Yes
"Upton, Justin",2017,29,635,0.901,3,88.8,44.4,28.3,4.0,0.0,0.0,0.0,Yes
"Turner, Justin",2017,32,543,0.945,19,89.4,43.8,25.5,4.0,0.0,0.0,0.0,Yes
"Posey III, Buster",2017,30,568,0.862,8,88.7,44.2,24.6,0.0,0.0,0.0,0.0,No
"Bruce, Jay",2017,30,617,0.832,2,88.4,49.8,26.3,2.0,0.0,0.0,1.0,Yes
"Votto, Joey",2017,33,707,1.032,8,87.5,41.9,24.9,0.0,0.0,0.0,0.0,No
"Gardner, Brett",2017,33,682,0.778,8,86.4,36.3,28.8,2.0,0.0,0.0,0.0,Yes
"Joyce, Matt",2017,32,544,0.808,2,88.2,42.3,26.5,2.0,0.0,0.0,0.0,Yes
"Gordon, Alex",2017,33,541,0.608,14,86.3,47.4,26.2,1.0,0.0,0.0,0.0,Yes
"Andrus, Elvis",2017,28,689,0.808,3,86.5,47.3,27.3,0.0,0.0,0.0,0.0,No
"Cabrera, Melky",2017,32,666,0.747,2,88.3,46.2,26.2,0.0,0.0,0.0,0.0,No
"Santana, Carlos",2017,31,667,0.818,6,88.6,40.0,26.1,2.0,0.0,0.0,0.0,Yes
"Gonzalez, Carlos",2017,31,534,0.762,2,87.5,50.0,26.9,3.0,0.0,0.0,1.0,Yes
"Mercer, Jordy",2017,30,558,0.732,3,85.8,41.9,27.6,0.0,0.0,0.0,1.0,Yes
"Alonso, Yonder",2017,30,521,0.866,2,89.2,47.2,24.6,3.0,0.0,0.0,0.0,Yes
"Smoak, Justin",2017,30,637,0.884,2,89.6,43.0,24.1,1.0,0.0,0.0,0.0,Yes
"Zimmerman, Ryan",2017,32,576,0.931,3,91.4,44.3,26.9,3.0,0.0,0.0,0.0,Yes
"Lowrie, Jed",2017,33,645,0.808,2,89.1,48.2,26.6,1.0,0.0,0.0,0.0,Yes
"Morrison, Logan",2017,29,601,0.869,5,88.6,46.0,26.7,2.0,0.0,0.0,0.0,Yes
"Gurriel, Yuli",2017,33,564,0.818,7,89.9,48.3,26.9,0.0,0.0,0.0,0.0,No
"Solarte, Yangervis",2017,29,512,0.73,5,85.4,51.5,24.7,0.0,0.0,0.0,0.0,No
"Freese, David",2017,34,503,0.739,15,88.9,43.4,26.0,1.0,0.0,0.0,1.0,Yes
"Davis, Khris",2017,29,652,0.864,6,92.2,47.2,26.5,1.0,0.0,0.0,0.0,Yes
"Pham, Tommy",2017,29,530,0.931,10,89.6,37.9,28.7,3.0,0.0,0.0,0.0,Yes
"Reddick, Josh",2017,30,533,0.847,0,87.7,44.1,27.8,1.0,0.0,0.0,1.0,Yes
"Murphy, Daniel",2017,32,593,0.927,4,89.6,47.1,26.3,5.0,0.0,0.0,0.0,Yes
"Goldschmidt, Paul",2017,29,664,0.967,8,91.5,40.9,26.8,1.0,0.0,0.0,0.0,Yes
"Gonzalez, Marwin",2017,28,515,0.907,6,88.7,42.4,26.7,3.0,0.0,0.0,0.0,Yes
"Altuve, Jose",2017,27,662,0.957,9,86.1,47.8,28.4,3.0,0.0,0.0,0.0,Yes
"Hernández, César",2017,27,577,0.794,4,85.7,41.1,29.4,0.0,0.0,0.0,0.0,No
"Segura, Jean",2017,27,566,0.776,6,87.6,49.4,27.1,1.0,0.0,0.0,0.0,Yes
"Freeman, Freddie",2017,27,514,0.989,7,89.7,52.9,26.6,1.0,0.0,0.0,0.0,Yes
"LeMahieu, DJ",2017,28,682,0.783,6,89.3,41.7,27.1,0.0,0.0,0.0,0.0,No
"Moreland, Mitch",2017,31,576,0.769,6,89.3,46.4,25.7,2.0,0.0,0.0,0.0,Yes
"Moustakas, Mike",2017,28,598,0.835,3,87.4,55.7,24.0,3.0,0.0,0.0,0.0,Yes
"Rizzo, Anthony",2017,27,691,0.899,24,88.4,46.5,25.7,1.0,0.0,0.0,0.0,Yes
"Souza Jr., Steven",2017,28,617,0.81,7,88.8,44.1,28.9,0.0,0.0,0.0,0.0,No
"Stanton, Giancarlo",2017,27,692,1.007,7,92.0,42.9,27.8,0.0,0.0,0.0,0.0,No
"Thames, Eric",2017,30,551,0.877,7,88.2,43.2,27.1,2.0,0.0,0.0,0.0,Yes
"Galvis, Freddy",2017,27,663,0.691,4,86.3,48.9,27.3,0.0,0.0,0.0,0.0,No
"García, Avisaíl",2017,26,561,0.886,9,90.3,58.9,29.0,0.0,0.0,0.0,0.0,No
"Inciarte, Ender",2017,26,718,0.759,0,82.8,53.1,27.1,2.0,0.0,0.0,0.0,Yes
"Ozuna, Marcell",2017,26,679,0.924,0,90.9,49.6,27.8,0.0,0.0,0.0,0.0,No
"Beckham, Tim",2017,27,575,0.782,4,88.4,50.6,28.0,5.0,0.0,0.0,2.0,Yes
"Crawford, Brandon",2017,30,570,0.708,1,87.5,51.4,26.0,0.0,0.0,0.0,0.0,No
"Harrison, Josh",2017,29,542,0.771,23,84.9,53.0,27.6,3.0,0.0,0.0,0.0,Yes
"Hosmer, Eric",2017,27,671,0.883,0,89.8,47.1,27.1,0.0,0.0,0.0,0.0,No
"Rendon, Anthony",2017,27,605,0.936,7,89.8,40.5,27.5,4.0,0.0,0.0,0.0,Yes
"Shaw, Travis",2017,27,606,0.862,4,88.6,45.3,25.7,5.0,0.0,0.0,0.0,Yes
"Springer III, George",2017,27,628,0.889,11,89.2,44.7,28.0,0.0,0.0,0.0,0.0,No
"Strange-Gordon, Dee",2017,29,694,0.716,10,81.6,54.2,29.4,0.0,0.0,0.0,0.0,No
"Gregorius, Didi",2017,27,569,0.796,3,84.5,58.4,28.2,0.0,0.0,0.0,0.0,No
"Trout, Mike",2017,25,507,1.071,7,88.8,37.7,29.3,3.0,0.0,0.0,0.0,Yes
"Herrera, Odúbel",2017,25,563,0.777,4,87.2,53.3,27.3,0.0,0.0,0.0,0.0,No
"Abreu, José",2017,30,675,0.906,15,90.6,48.2,26.9,0.0,0.0,0.0,0.0,No
"Suárez, Eugenio",2017,25,632,0.828,9,86.2,42.2,26.9,0.0,0.0,0.0,0.0,No
"Santana, Domingo",2017,24,607,0.876,6,89.2,46.3,27.2,1.0,0.0,0.0,0.0,Yes
"Sánchez, Yolmer",2017,25,534,0.732,4,84.8,50.3,28.4,0.0,0.0,0.0,0.0,No
"Schoop, Jonathan",2017,25,675,0.841,11,87.8,52.4,27.6,1.0,0.0,0.0,0.0,Yes
"Arenado, Nolan",2017,26,679,0.959,4,88.8,48.2,25.7,0.0,0.0,0.0,0.0,No
"Hamilton, Billy",2017,26,633,0.634,0,80.5,46.4,30.1,4.0,0.0,0.0,0.0,Yes
"Joseph, Tommy",2017,25,533,0.721,2,89.3,49.6,25.3,0.0,0.0,0.0,0.0,No
"Lamb, Jake",2017,26,635,0.844,7,88.3,39.8,26.9,0.0,0.0,0.0,0.0,No
"Myers, Wil",2017,26,649,0.792,5,89.4,44.2,28.5,1.0,0.0,0.0,0.0,Yes
"Seager, Kyle",2017,29,650,0.773,8,88.3,42.9,26.1,2.0,0.0,0.0,0.0,Yes
"Carpenter, Matt",2017,31,622,0.835,9,89.7,34.6,26.6,5.0,0.0,0.0,1.0,Yes
"Dickerson, Corey",2017,28,628,0.815,3,87.2,58.7,27.6,0.0,0.0,0.0,0.0,No
"Dozier, Brian",2017,30,705,0.857,8,87.9,41.7,27.1,3.0,0.0,0.0,0.0,Yes
"Bryant, Kris",2017,25,665,0.946,15,87.0,45.4,28.9,4.0,0.0,0.0,0.0,Yes
"Castellanos, Nick",2017,25,665,0.81,5,89.1,51.2,28.1,0.0,0.0,0.0,0.0,No
"Gamel, Ben",2017,25,550,0.735,1,86.3,44.7,28.4,1.0,0.0,0.0,0.0,Yes
"Healy, Ryon",2017,25,605,0.753,4,88.3,47.6,26.6,2.0,0.0,0.0,0.0,Yes
"Judge, Aaron",2017,25,678,1.049,5,95.0,41.1,28.0,1.0,0.0,0.0,0.0,Yes
"Machado, Manny",2017,24,690,0.781,1,91.3,49.0,26.3,3.0,0.0,0.0,0.0,Yes
"Realmuto, J.T.",2017,26,579,0.783,8,88.2,48.3,28.6,1.0,0.0,0.0,0.0,Yes
"Rosario, Eddie",2017,25,589,0.835,0,87.2,55.4,27.5,0.0,0.0,0.0,0.0,No
"Simmons, Andrelton",2017,27,647,0.752,3,86.1,46.3,27.5,0.0,0.0,0.0,0.0,No
"Yelich, Christian",2017,25,694,0.808,6,90.6,42.5,28.4,2.0,0.0,0.0,0.0,Yes
"Merrifield, Whit",2017,28,630,0.784,6,87.6,50.8,29.2,0.0,0.0,0.0,0.0,No
"Bogaerts, Xander",2017,24,635,0.746,6,87.3,41.9,28.3,4.0,0.0,0.0,0.0,Yes
"Polanco, Jorge",2017,23,544,0.723,2,85.0,43.9,28.4,0.0,0.0,0.0,0.0,No
"Calhoun, Kole",2017,29,654,0.725,8,88.3,47.9,26.4,1.0,0.0,0.0,0.0,Yes
"Duvall, Adam",2017,28,647,0.781,10,87.3,48.1,27.7,1.0,0.0,0.0,0.0,Yes
"Schebler, Scott",2017,26,531,0.791,14,89.1,52.7,28.3,1.0,0.0,0.0,0.0,Yes
"Báez, Javier",2017,24,508,0.797,1,87.9,56.5,28.5,0.0,0.0,0.0,0.0,No
"Lindor, Francisco",2017,23,723,0.842,4,89.1,47.4,28.0,0.0,0.0,0.0,0.0,No
"Odor, Rougned",2017,23,651,0.649,8,89.1,52.9,28.1,0.0,0.0,0.0,0.0,No
"Story, Trevor",2017,24,555,0.765,2,89.4,48.2,29.3,0.0,0.0,0.0,0.0,No
"Sánchez, Gary",2017,24,525,0.876,10,90.8,47.9,26.1,0.0,0.0,0.0,0.0,No
"Kepler, Max",2017,24,568,0.737,6,88.7,43.3,28.0,1.0,0.0,0.0,1.0,Yes
"Franco, Maikel",2017,24,623,0.69,2,88.8,50.3,26.0,1.0,0.0,0.0,0.0,Yes
"Bradley Jr., Jackie",2017,27,541,0.725,9,88.3,47.1,27.4,0.0,0.0,0.0,0.0,No
"Bell, Josh",2017,24,620,0.8,1,87.6,43.6,27.2,0.0,0.0,0.0,1.0,Yes
"Betts, Mookie",2017,24,712,0.803,2,88.4,35.9,27.9,0.0,0.0,0.0,0.0,No
"Panik, Joe",2017,26,573,0.768,5,85.0,43.3,26.1,1.0,0.0,1.0,0.0,Yes
"Arcia, Orlando",2017,22,548,0.731,1,85.7,54.2,27.2,1.0,0.0,0.0,0.0,Yes
"Peraza, José",2017,23,518,0.621,7,82.8,51.7,28.8,0.0,0.0,0.0,0.0,No
"Pillar, Kevin",2017,28,632,0.704,6,86.0,52.2,27.8,0.0,0.0,0.0,0.0,No
"Ramírez, José",2017,24,645,0.957,3,88.2,43.3,27.9,0.0,0.0,0.0,0.0,No
"Bregman, Alex",2017,23,626,0.827,7,87.6,44.7,27.6,1.0,0.0,0.0,0.0,Yes
"Gallo, Joey",2017,23,532,0.87,8,93.3,47.1,27.8,2.0,0.0,0.0,1.0,Yes
"Seager, Corey",2017,23,613,0.854,4,89.7,50.1,26.8,5.0,0.0,0.0,0.0,Yes
"Mazara, Nomar",2017,22,616,0.745,4,89.0,46.1,27.0,2.0,0.0,0.0,0.0,Yes
"Swanson, Dansby",2017,23,551,0.636,0,86.9,44.5,28.7,0.0,0.0,0.0,0.0,No
"Taylor, Chris",2017,26,568,0.85,3,87.1,45.9,29.0,1.0,0.0,0.0,0.0,Yes
"Buxton, Byron",2017,23,511,0.727,4,88.1,49.6,30.5,2.0,0.0,0.0,0.0,Yes
"Margot, Manuel",2017,22,529,0.722,2,85.3,45.8,29.4,0.0,0.0,0.0,1.0,Yes
"Puig, Yasiel",2017,26,570,0.833,2,88.5,46.4,28.1,2.0,0.0,0.0,0.0,Yes
"Anderson, Tim",2017,24,606,0.678,3,85.6,55.1,28.7,2.0,0.0,0.0,0.0,Yes
"Bellinger, Cody",2017,21,548,0.933,1,90.8,44.7,28.8,0.0,0.0,0.0,1.0,Yes
"Mancini III, Trey",2017,25,586,0.826,6,88.6,50.9,27.5,0.0,0.0,0.0,0.0,No
"Benintendi, Andrew",2017,22,658,0.776,6,87.5,44.1,28.3,0.0,0.0,0.0,0.0,No
"Martinez, Victor",2018,39,508,0.65,2,87.8,49.2,23.2,1.0,0.0,0.0,0.0,Yes
"Mauer, Joe",2018,35,543,0.73,2,91.1,35.3,26.0,0.0,0.0,0.0,0.0,No
"Choo, Shin-Soo",2018,35,665,0.811,10,89.3,40.9,26.0,1.0,0.0,0.0,0.0,Yes
"Molina, Yadier",2018,35,503,0.75,9,88.2,52.7,22.9,2.0,0.0,0.0,0.0,Yes
"Encarnación, Edwin",2018,35,578,0.81,8,89.9,44.6,24.4,0.0,0.0,0.0,0.0,No
"Jones, Adam",2018,32,613,0.732,5,88.3,55.1,26.7,1.0,0.0,0.0,0.0,Yes
"Kinsler, Ian",2018,36,534,0.681,4,85.3,45.5,26.6,1.0,0.0,0.0,0.0,Yes
"Desmond, Ian",2018,32,619,0.729,6,90.1,48.3,28.1,0.0,0.0,0.0,0.0,No
"Cruz Jr., Nelson",2018,37,591,0.851,14,93.9,46.5,24.9,0.0,0.0,0.0,0.0,No
"Peralta, David",2018,30,614,0.868,4,91.5,48.0,27.2,3.0,0.0,0.0,0.0,Yes
"Escobar, Alcides",2018,31,531,0.592,5,84.6,52.4,27.5,0.0,0.0,0.0,0.0,No
"Jay, Jon",2018,33,586,0.677,18,85.1,49.1,26.0,0.0,0.0,0.0,0.0,No
"Longoria, Evan",2018,32,512,0.693,5,88.5,48.6,27.0,1.0,0.0,0.0,0.0,Yes
"Davis, Chris",2018,32,522,0.539,7,89.3,45.1,25.5,3.0,0.0,0.0,0.0,Yes
"Zobrist, Ben",2018,37,520,0.818,2,89.9,41.1,26.7,1.0,0.0,0.0,1.0,Yes
"Cabrera, Asdrúbal",2018,32,592,0.774,3,90.1,49.1,25.4,0.0,0.0,0.0,0.0,No
"Blackmon, Charlie",2018,31,696,0.86,8,87.5,47.7,27.6,2.0,0.0,0.0,0.0,Yes
"Markakis, Nick",2018,34,705,0.806,1,90.6,40.4,26.4,0.0,0.0,0.0,0.0,No
"Núñez, Eduardo",2018,31,502,0.677,2,88.3,53.8,27.5,0.0,0.0,0.0,0.0,No
"Cain, Lorenzo",2018,32,620,0.812,8,89.1,42.3,28.6,3.0,0.0,1.0,0.0,Yes
"McCutchen, Andrew",2018,31,682,0.792,11,90.0,39.8,28.7,1.0,0.0,0.0,0.0,Yes
"Upton, Justin",2018,30,613,0.807,10,90.7,42.6,27.8,4.0,0.0,0.0,0.0,Yes
"Votto, Joey",2018,34,623,0.836,9,88.1,39.7,25.3,1.0,0.0,0.0,0.0,Yes
"Gardner, Brett",2018,34,609,0.69,5,88.0,36.3,29.1,1.0,0.0,0.0,0.0,Yes
"Gordon, Alex",2018,34,568,0.694,10,88.5,46.5,25.5,1.0,0.0,1.0,0.0,Yes
"Kemp, Matt",2018,33,506,0.819,1,89.6,50.7,26.2,0.0,0.0,0.0,0.0,No
"Santana, Carlos",2018,32,679,0.766,1,88.9,41.4,26.0,0.0,0.0,0.0,0.0,No
"Gonzalez, Carlos",2018,32,504,0.796,1,89.7,50.3,27.4,1.0,0.0,1.0,0.0,Yes
"Alonso, Yonder",2018,31,574,0.738,2,87.8,50.4,23.3,0.0,0.0,0.0,0.0,No
"Smoak, Justin",2018,31,594,0.807,3,89.5,40.3,23.8,0.0,0.0,0.0,0.0,No
"Lowrie, Jed",2018,34,680,0.801,3,89.2,45.9,26.7,0.0,0.0,0.0,0.0,No
"Brantley Jr., Michael",2018,31,630,0.832,5,90.2,44.2,26.1,0.0,0.0,0.0,0.0,No
"Gurriel, Yuli",2018,34,573,0.751,6,89.3,50.3,27.6,0.0,0.0,0.0,0.0,No
"Solarte, Yangervis",2018,30,506,0.655,3,87.1,54.3,24.7,0.0,0.0,0.0,0.0,No
"Rojas, Miguel",2018,29,528,0.643,9,84.7,49.0,26.5,3.0,0.0,0.0,1.0,Yes
"Escobar, Eduardo",2018,29,631,0.823,5,86.5,53.0,27.8,0.0,0.0,0.0,0.0,No
"Martínez, José",2018,29,590,0.821,2,91.0,43.6,26.5,0.0,0.0,0.0,0.0,No
"Davis, Khris",2018,30,654,0.875,12,92.5,49.3,26.2,1.0,0.0,1.0,0.0,Yes
"Pham, Tommy",2018,30,570,0.831,6,93.0,39.8,28.6,6.0,0.0,0.0,0.0,Yes
"Martinez, J.D.",2018,30,649,1.031,4,93.0,50.3,26.7,0.0,0.0,0.0,0.0,No
"Goldschmidt, Paul",2018,30,690,0.922,6,90.8,42.4,26.9,0.0,0.0,0.0,0.0,No
"Gonzalez, Marwin",2018,29,552,0.733,3,89.1,44.4,26.4,3.0,0.0,0.0,0.0,Yes
"Altuve, Jose",2018,28,599,0.837,6,87.2,47.4,28.1,0.0,0.0,0.0,1.0,Yes
"Hernández, César",2018,28,708,0.718,4,85.7,38.2,29.1,0.0,0.0,0.0,0.0,No
"Segura, Jean",2018,28,632,0.756,4,87.7,49.0,27.9,4.0,0.0,0.0,0.0,Yes
"Castro, Starlin",2018,28,647,0.729,0,88.5,46.0,27.4,0.0,0.0,0.0,0.0,No
"Marte, Starling",2018,29,606,0.787,8,88.4,54.5,28.6,3.0,0.0,0.0,1.0,Yes
"Dietrich, Derek",2018,28,551,0.751,21,87.4,50.5,26.9,0.0,0.0,0.0,0.0,No
"Freeman, Freddie",2018,28,707,0.893,7,89.1,55.6,26.7,0.0,0.0,0.0,0.0,No
"Grandal, Yasmani",2018,29,518,0.815,3,88.9,38.5,24.5,0.0,0.0,0.0,0.0,No
"LeMahieu, DJ",2018,29,581,0.749,2,91.3,41.9,27.2,0.0,0.0,0.0,0.0,No
"Moustakas, Mike",2018,29,635,0.774,7,89.5,52.2,25.7,1.0,0.0,0.0,0.0,Yes
"Rizzo, Anthony",2018,28,665,0.846,20,90.1,47.7,25.6,0.0,0.0,0.0,1.0,Yes
"Stanton, Giancarlo",2018,28,705,0.852,8,93.7,44.9,27.8,0.0,0.0,0.0,0.0,No
"Galvis, Freddy",2018,28,656,0.679,2,88.6,50.3,26.8,0.0,0.0,0.0,0.0,No
"Perez, Salvador",2018,28,544,0.713,12,91.3,57.0,25.0,2.0,0.0,0.0,0.0,Yes
"Inciarte, Ender",2018,27,660,0.705,6,84.9,50.3,27.8,0.0,0.0,0.0,0.0,No
"Ozuna, Marcell",2018,27,628,0.758,3,91.5,48.5,27.8,0.0,0.0,0.0,0.0,No
"Villar, Jonathan",2018,27,515,0.709,5,88.5,48.9,27.6,1.0,0.0,0.0,0.0,Yes
"Aguilar, Jesús",2018,28,566,0.891,6,89.8,45.5,24.6,0.0,0.0,0.0,0.0,No
"Crawford, Brandon",2018,31,594,0.719,8,87.5,52.1,25.8,3.0,0.0,0.0,0.0,Yes
"Cron, C.J.",2018,28,560,0.816,17,88.0,50.8,26.3,0.0,0.0,0.0,0.0,No
"Hicks, Aaron",2018,28,581,0.833,3,89.7,40.0,28.1,4.0,0.0,0.0,0.0,Yes
"Hosmer, Eric",2018,28,677,0.72,1,88.7,48.5,26.3,1.0,0.0,0.0,0.0,Yes
"Kipnis, Jason",2018,31,601,0.704,7,86.9,43.0,26.9,2.0,0.0,0.0,0.0,Yes
"Rendon, Anthony",2018,28,597,0.909,5,90.7,47.7,27.3,1.0,0.0,0.0,1.0,Yes
"Semien, Marcus",2018,27,703,0.706,1,86.8,43.8,28.3,0.0,0.0,0.0,0.0,No
"Shaw, Travis",2018,28,587,0.825,4,88.9,44.8,26.7,3.0,0.0,0.0,0.0,Yes
"Springer III, George",2018,28,617,0.78,5,88.6,44.3,27.7,0.0,0.0,0.0,0.0,No
"Strange-Gordon, Dee",2018,30,588,0.637,9,83.2,55.1,29.0,0.0,0.0,0.0,0.0,No
"Gregorius, Didi",2018,28,569,0.829,7,87.0,51.7,28.0,0.0,0.0,0.0,0.0,No
"Trout, Mike",2018,26,608,1.088,10,91.2,37.6,29.2,0.0,0.0,0.0,2.0,Yes
"Herrera, Odúbel",2018,26,597,0.73,7,86.7,52.4,26.7,0.0,0.0,0.0,0.0,No
"Harper, Bryce",2018,25,695,0.889,6,91.0,45.7,27.5,1.0,0.0,0.0,1.0,Yes
"Abreu, José",2018,31,553,0.798,11,91.3,49.0,26.7,0.0,0.0,0.0,0.0,No
"Suárez, Eugenio",2018,26,606,0.892,9,91.2,44.7,26.2,0.0,0.0,0.0,0.0,No
"Polanco, Gregory",2018,26,534,0.839,3,88.9,45.3,27.9,1.0,0.0,0.0,1.0,Yes
"Sánchez, Yolmer",2018,26,662,0.678,8,86.7,47.9,28.1,0.0,0.0,0.0,0.0,No
"Arenado, Nolan",2018,27,673,0.935,3,89.8,49.8,25.7,0.0,0.0,0.0,0.0,No
"Barnhart, Tucker",2018,27,522,0.7,2,87.1,45.7,25.0,0.0,0.0,0.0,0.0,No
"Gennett, Scooter",2018,28,638,0.847,4,87.3,53.6,26.4,0.0,0.0,0.0,0.0,No
"Hamilton, Billy",2018,27,556,0.626,1,80.5,48.6,30.1,0.0,0.0,0.0,0.0,No
"Haniger, Mitch",2018,27,683,0.859,10,90.2,41.8,27.8,2.0,0.0,0.0,0.0,Yes
"Piscotty, Stephen",2018,27,605,0.822,12,88.5,53.3,26.7,0.0,0.0,0.0,0.0,No
"Seager, Kyle",2018,30,630,0.673,5,89.8,47.2,25.9,0.0,0.0,0.0,1.0,Yes
"Carpenter, Matt",2018,32,676,0.897,6,90.7,37.5,26.5,0.0,0.0,0.0,0.0,No
"Dickerson, Corey",2018,29,533,0.804,4,87.9,59.4,27.8,0.0,0.0,0.0,1.0,Yes
"Dozier, Brian",2018,31,632,0.696,4,86.8,39.8,26.8,1.0,0.0,0.0,0.0,Yes
"Contreras, Willson",2018,26,544,0.729,13,88.2,49.7,27.6,0.0,0.0,0.0,0.0,No
"Castellanos, Nick",2018,26,678,0.854,6,89.6,55.1,27.8,0.0,0.0,0.0,0.0,No
"Healy, Ryon",2018,26,524,0.689,2,89.6,47.5,26.0,1.0,0.0,0.0,1.0,Yes
"Machado, Manny",2018,25,709,0.905,2,91.6,48.9,26.3,1.0,0.0,0.0,0.0,Yes
"Realmuto, J.T.",2018,27,529,0.824,10,88.9,47.1,28.6,1.0,0.0,0.0,0.0,Yes
"Rosario, Eddie",2018,26,592,0.802,0,87.7,58.0,28.0,2.0,0.0,0.0,1.0,Yes
"Simmons, Andrelton",2018,28,600,0.754,5,88.2,45.6,27.1,4.0,0.0,0.0,0.0,Yes
"Yelich, Christian",2018,26,651,1.0,7,92.6,44.3,28.7,1.0,0.0,0.0,1.0,Yes
"Merrifield, Whit",2018,29,707,0.805,6,87.0,47.9,29.0,0.0,0.0,0.0,0.0,No
"Bogaerts, Xander",2018,25,580,0.882,6,90.6,43.2,27.8,2.0,0.0,0.0,1.0,Yes
"Calhoun, Kole",2018,30,551,0.652,1,90.4,49.2,26.1,0.0,0.0,0.0,0.0,No
"Profar, Jurickson",2018,25,594,0.793,12,87.3,48.6,27.6,1.0,0.0,0.0,0.0,Yes
"Báez, Javier",2018,25,645,0.88,5,90.6,57.9,28.8,0.0,0.0,0.0,0.0,No
"Lindor, Francisco",2018,24,745,0.871,8,90.6,47.1,28.4,0.0,0.0,0.0,0.0,No
"Odor, Rougned",2018,24,535,0.75,11,90.7,48.5,28.1,0.0,0.0,0.0,0.0,No
"Story, Trevor",2018,25,656,0.915,7,91.0,50.3,29.6,2.0,0.0,0.0,0.0,Yes
"Kepler, Max",2018,25,611,0.727,5,89.5,42.7,27.9,1.0,0.0,0.0,0.0,Yes
"Bradley Jr., Jackie",2018,28,535,0.717,11,92.2,47.3,27.8,0.0,0.0,0.0,0.0,No
"Candelario, Jeimer",2018,24,619,0.71,9,87.1,42.6,27.3,3.0,0.0,1.0,0.0,Yes
"Ahmed, Nick",2018,28,564,0.701,2,86.9,50.4,28.2,1.0,0.0,0.0,0.0,Yes
"Anderson, Brian",2018,25,670,0.757,16,90.2,46.3,27.1,0.0,0.0,0.0,0.0,No
"Bell, Josh",2018,25,583,0.768,0,90.2,43.0,27.1,0.0,0.0,0.0,0.0,No
